username,tanggal,rating,clean_text,skor_sentimen,label,word_count
Mah Mud,2024-10-26 23:28:39,5,baru pertama kali bismillah semoga bisa menghasilkan buat masa depan,5,positif,10
Paiman,2024-10-26 17:09:48,5,semoga bisa sukses,3,positif,3
Taufik Fatkhurohman,2024-10-26 10:19:26,5,bagus untuk sy yg pemula,3,positif,5
Andy Angkasa,2024-10-26 03:56:47,1,Masuk deposit hanya menit saja total modal idr saya buy usdt di harga selang menit saya sell dengan harga sama dan uang idr saya menjadi Tidak ada transaksi lain tapi saya kaget dicharge selisih demikian tinggi Saya rugi hampir rb Hanya beli dan jual USDT dgn nilai jgn pernah masuk pluang,-29,negatif,51
Ahmad Syahrudin,2024-10-26 02:37:30,5,pluang sangat bagus dan aman untuk investasi,6,positif,7
Bimo Prasetyo,2024-10-25 23:07:05,4,Tolong dong di benahi lagi aplikasinya data nya masih banyak yang belum Real Time dan masih banyak yang tidak sesuai,-24,negatif,20
Chen live,2024-10-25 08:25:05,2,Kenapa ya sering delist kripto padahal baru inv sudah x gitu ini unfi juga mau di hapus dari pluang brarti x sudah,-4,negatif,22
whiznu adjitoxx top boy,2024-10-25 05:47:23,4,Kak saya tidak bisa top up lewat dana selalu error apakah sedang maintenance,-13,negatif,13
Leo Saputra,2024-10-25 05:18:42,1,Pengambilan dana gua Gimna sialan uang juta gua g masuk deposit minta di kembalikan udah hri ga ada repost ajing alah,-18,negatif,21
Karnia123,2024-10-24 11:38:00,5,good lah terbaik,7,positif,3
KangCuiryy,2024-10-24 10:44:34,4,Tolong Fitur transfer terima secepatnya dibenerin cuma ini kekurangan aplikasi Pulang,-5,negatif,11
aldi tj,2024-10-24 09:38:09,3,Fitur transfer dan terima crypto kapan bisa dipakai kalo belum bisa lebih baik dihilangkan dulu dari aplikasi untuk tampilannya percuma ada tombol kirim kalo ga bisa dipakai,-7,negatif,27
Niss Rayy,2024-10-24 01:03:16,1,Berlisensi PFAK tpi ga bisa kirim Aset kripto,2,positif,8
zulfahmi zulfahmi,2024-10-23 05:25:34,5,sangat oke dan ves terbaik,7,positif,5
achmad syaepudin,2024-10-23 03:29:25,5,peluang sangat efisien dan layak sbg tempt investasi,-1,negatif,8
Willy Mamonto,2024-10-23 02:50:38,5,apk yang saya lengkap menurut saya apalagi untuk yang suka main kripto behhh muanteppp polll,-18,negatif,15
Lupi Amarullah,2024-10-23 00:10:06,1,Ini apk musti di uninstall aja penarikan saldo gk ada benernya jam proses penarikan belum selesai Udah uninstall aja apk pluang,-2,negatif,21
edhosm,2024-10-22 22:35:44,5,aplikasinya kerenn rekomendasi banget,1,positif,4
Fadjri Muhamad Yusuf,2024-10-22 18:39:06,5,apk nya sangat memuaskan,-5,negatif,4
Hamba,2024-10-22 18:30:20,5,Sangat membantu tetap pertahan kualitas sudah bagus sedikit tambahan untuk crypto tolong di tambah biar makin banyak Sukses selalu pluang Sukses melalui kebersamaan,5,positif,23
Ibnu Morniko,2024-10-22 15:05:23,5,Aplikasi yang mudah dan d gunakan disini cocok untuk investasi sekali ada keluhan langsung di respon cepat mantap bener,2,positif,19
Ariel Maulana,2024-10-22 09:34:54,5,apk yang sangat membantu bagi orang awam seperti saya mudah an bisa konsisten menjalankan trading saham seperti ini,-16,negatif,18
dikaa,2024-10-22 07:34:05,1,Gimana ini peluang dulu bisa tarik saldo mengunakan e wallet kok malah sekarang harus pakai rekening bank dan harus rekening org nya sama makin ga jelas aja tolong balikan seperti dulu biar mempermudah transaksi penarikan saldo,-6,negatif,36
Muhammad Maulana,2024-10-22 06:26:02,1,Saya sudah menunggu bulan setelah pengajuan akun saya tidak ada perubahan Nasib,-13,negatif,12
Nabila Syifa,2024-10-22 06:10:36,1,Saya lupa ama pin pluangnya,-3,negatif,5
Herman Novanto,2024-10-22 05:09:32,5,Lancar simpel dan praktis,7,positif,4
Kang Aang,2024-10-22 01:49:27,5,berawal coba di Tokped saat skrg sdh trputus msk deh ke aplikasi pluang nya lgsg knapa krn realtime semuanya trmsk pencairan pjn bgtu mwantaap dah,-11,negatif,25
Bagus salam dari kami Camp pasel266,2024-10-21 18:21:24,2,tolong tambahin penarikan melalui e wallet kurang kreatif ditambah kebanyakan pajak,2,positif,11
Sam Mirin,2024-10-21 16:48:10,4,dulu nanti kalo bagus tambah lagi,1,positif,6
RAGAZ,2024-10-21 14:11:15,3,Tolong untuk pihak pluang kedepannya tolong adakan Fitur E walett dompet digital saat akan menarik uang untuk memudahkan pihak pengguna karena biasanya pihak pengguna pluang terkendali oleh itu,-19,negatif,28
Amid Arlenta,2024-10-21 13:13:00,4,Bismillah Semoga Betah klo Enak dalam Minggu gw naikin nih bintang Dalam bulan Cuma x wd gratis tolong tambahin lagi,1,positif,20
Jalal uddin,2024-10-21 11:00:11,5,bagus semoga bermanfaat,8,positif,3
Dewa Tejasemara,2024-10-21 07:31:47,3,Susah sekali verifikasi foto KTP Selalu tidak dikenali,-3,negatif,8
Namry Ny,2024-10-21 06:14:22,5,Aplikasi bagus banget min deposit cepat dan penarikan pun cepat sayangnya cuma satu kalo kita mau withdraw penarikan nya nggak ada ke e walet dana pliss tambahin dana ci,1,positif,29
asung ayung,2024-10-21 05:47:24,5,baru mau digunakan mudah n bagus dan aman,7,positif,8
Tirta Bayu,2024-10-21 04:18:51,2,Kenapa apknya gak bisa login lama jir jam gak masuk masuk yakali suruh daftar lagi hilang duit guwe,-28,negatif,18
Irkham Nur kamil,2024-10-21 01:30:42,5,bagus fiturnya keren lengkap terus berkembang,3,positif,6
Robi Susandi,2024-10-20 23:54:03,5,Mudah di pahami dan mudah membeli atau menjual tapi kita harus tau dulu tentang crypto,-17,negatif,15
Risky,2024-10-20 15:15:26,1,saldo ga masuk katanya belom invest harga nya aja ketinggalan jauh sama apk sebelah mau gw wd in karna emg gajelas nih apk pl ang,-12,negatif,25
Rohmat Rosyidi,2024-10-20 01:07:27,5,Bagus dan bermanfaat sekali untuk investasi masa depan,4,positif,8
Ma Heri,2024-10-19 23:25:56,5,Aplikasinya mudah di pahami,2,positif,4
Rosnija Rosnija,2024-10-19 12:31:36,5,Cukup baik dan cukup pemasukan ya uang saku,8,positif,8
Gene Collins,2024-10-19 11:54:57,5,lebih mudah di bandingkan yg lain,-1,negatif,6
Akbar Pangkep,2024-10-19 10:46:04,5,sangat detail arahannya,2,positif,3
funy moment,2024-10-19 09:34:22,1,Top up bisa bake dana masa pas tarik ngak bisa pake dana tolong di ubah lah biar enak,4,positif,18
Artha,2024-10-18 17:40:16,1,monyet nariknya harus pake atm yg ktpnya sama,-7,negatif,8
Iqbal Iqbal,2024-10-18 13:27:06,3,Saat ini pajak nya aneh lebih gede hampir dari pajak untuk crypto dengan aplikasi sebelah Selain itu stop order GX bisa Ter eksekusi GX tau apa yg salah padahal sebelumnya normal aja sebelum ada fitur pro lite Cukup kecewa,-42,negatif,39
Choirul Lisairi,2024-10-18 09:45:23,5,cocok bagi pemula,-2,negatif,3
Hipo Hipolitus,2024-10-17 13:08:47,3,Saya lagi mencoba mohon bimbingan nya,-8,negatif,6
gamer pemula,2024-10-17 12:43:54,2,Susah verifikasi nya harus pakek kpt segalak ktp sya sudah buram lgi dan sudah mati dan sya ada di luar daerah tidak membawa ktp otomatis tidak bisa dipakek apk ini trapaksa sya harus uninstall,-32,negatif,34
Fiktor Pujianto,2024-10-17 10:40:44,5,aplikasi sangat terpercaya,-1,negatif,3
MUHAMMAD RIZKY,2024-10-17 09:51:56,5,sangat berguna bagus banget,9,positif,4
solitude is me,2024-10-17 03:59:16,2,saya melakukan transaksi pengiriman crypto ke microwallet di aplikasi pluang tertulis berhasil tapi di microwallet belum masuk sudah x dicoba tidak pernah masuk koin matic,-16,negatif,25
Rahmatsyah Fuady,2024-10-17 00:21:28,5,Bagys utk belajar investasi,3,positif,4
Yoyok Kero,2024-10-16 16:37:55,3,dibuka di desktop pc dibiarin bbrp menit ngelag harus refresh,-3,negatif,10
leonardus purba,2024-10-16 07:25:55,5,pajaknya sama potonganya banyak juga yaa enak lahh yg punya aplikasii,-1,negatif,11
Sonny Mey,2024-10-16 05:54:11,1,kecewa download lagi awal transaksi sudah mengalami kerugian di aplikasi ini Penanganan kendala Nasabah tidak ada win solusinya bukan hanya tertinggal dari aplikasi invest lainnya tp tertinggal semuanya juga tidak ada keramahan Agentnya dalam membantu nasabah saya hapus saja mau invest malah buntung dengan pengalaman seperti ini kekecewaan Nasabah gak bakal lama aplikasi ini bakal sepi makan uang Nasabahnya sendiri,-84,negatif,60
Reza papiyuloh,2024-10-15 14:19:13,5,the best future,3,positif,3
Ervita Vita,2024-10-15 07:58:59,5,awalnya gak ngerti lama ngerti,-6,negatif,5
Asbi (Muhammad Asbi),2024-10-15 05:07:42,5,Inilah aplikasi masa depan yang akan mengantar anak muda di bawah usia tahun untuk menjadi seorang milyarder,-14,negatif,17
13 M. MUFLIH HAWARI,2024-10-15 01:31:50,5,Halo dev izin bertanya utk topup melalui bank lain itu bisa menggunakan bank jago atau tidak ya terimakasih,2,positif,18
Faizal Tri Yunanto,2024-10-15 01:18:51,5,sangat bagus aplikasi nya,-1,negatif,4
Yahya Wahyudin,2024-10-14 22:09:45,1,Gak bisa ngirim usdt kirim jumlah kecil malah diminta jumlah besar kirim jumlah besar malah diminta jumlah kecil,-6,negatif,18
Mayuda Agustian yuslan,2024-10-14 19:42:29,3,penarikan lama x proses lama dipercepat proses ny menit,-6,negatif,9
Kurniawan Arif,2024-10-14 16:38:08,5,Pihak pluang tolong di ada kan penarikan dana melalui dompet digital seperti dana ovo Shopee pay dll Terima kasih,4,positif,19
Satria Satria,2024-10-14 16:30:41,4,Tolong lah oii developer ya Adakan fitur untuk merubah nomor telepon dan permudah lah Soalnya card yg dulu kuning ya rusak total masa ia saya kehilangan pliss banget dah tolong Adain fiturnya dan di permudah fitur merubah nomor,-11,negatif,38
Edi Kurniawan,2024-10-14 14:38:07,5,Aplikasi investasi terbaik mudah dipahami,9,positif,5
Abdullah Mubarok,2024-10-14 13:56:01,5,saya baru pertama kali download ini,-3,negatif,6
Ivan Shanahan,2024-10-14 09:52:41,1,baru juga coba aplikasi ini sudah timbul masalah saya hanya ingin uang saya yang saya depositkan di akun peluang ini bisa saya tarik kenyataannya tidak bisa ditarik alasan KTP rusak fisik itu NIK saya kan ada bisa di cek di dispenduk untuk ke valid an data jangan cari alasan yang hanya merugikan customer,-75,negatif,53
ho hihe,2024-10-13 01:09:40,2,buat pemerintah jahat bgt si pajak nya gede banget semoga sehat keluarga pemerintah,-11,negatif,13
Rohan Dhika,2024-10-12 20:20:08,5,Joss tidak perlu berkata kata biarkan bintang yang berbicara eakk,-15,negatif,10
Baerey,2024-10-12 11:53:08,5,Untuk semua fitur uda mantap Tolong lengkapi semua jaringan bisa kirim antar exchange,-5,negatif,13
Shanice Bennett,2024-10-12 10:34:44,5,bos tambahin terima saldo bitcoin lightning,7,positif,6
Bustanul Arifin,2024-10-12 08:12:13,2,Harga dogs gua yg salah apa aplikasi nya yang salah tempat lain dah,-33,negatif,13
Imanuel Safebrisco,2024-10-11 10:37:38,5,Simpel bagus tapi fiturnya terlalu sedikit,-4,negatif,6
Farel Anggara,2024-10-10 23:42:12,5,Lumayan ganti tabungan dari bank yang susah saya pahami,-20,negatif,9
Maria Zendrato,2024-10-10 22:18:36,4,Di Pluang tidak ada transaksi XAUUSD kah Dan tidak ada customer service kah,-12,negatif,13
Cristiyan Virlo,2024-10-10 12:17:30,4,Mau nanyak kak rekening saya di tolak terus jadi saya tidak bisa narik saldo KTP nya sudah sesuai tapi tetap di tolak kak mohon bantuannya,-17,negatif,25
alan ganteng,2024-10-10 07:09:51,5,sumpah bagus banget nyesel banget knp nga dari dulu di sini sebelumya di aplikasi gerbang kesini kayak dari kosan ke perum elit,-16,negatif,22
Leman Cabe,2024-10-09 22:51:36,5,Sangat mendukung aplikasi ini,-4,negatif,4
Ganisgandreas,2024-10-09 19:42:46,4,Tolong lebih di perbagus lagi karna keseluruhan aplikasi nya sudah bagus cuma yang ada kendala bagi saya itu di bagian L R terealisasi nya itu tidak sama dengan jumlah profit yang saya dapatkan,-42,negatif,33
Muhammad Noval,2024-10-09 18:58:06,1,Gajelas potongan nya gede banget mending broker lain aja,-12,negatif,9
TATAN RUSTANDI,2024-10-09 15:26:50,5,Semoga kita selalu terbuka pluang nya untuk menjadi billioner,-3,negatif,9
arif afriyanto,2024-10-09 03:09:03,1,Kyc nya lama,-4,negatif,3
Bayu Anggara Ferdiansyah,2024-10-09 01:41:37,4,Apknya bagus cuma saya ingin beberapa tambahan berikan order book khusus di saham as agar saya tahu permintaan dan penawaran yang lebih banyak itu di mana Itu saja saran saya semoga di buatkan,-26,negatif,33
Yusup Sopiyan,2024-10-08 08:46:19,4,daftar nya mudah,-1,negatif,3
Drem Classic,2024-10-08 04:50:33,1,Aneh banget bisa deposit tidak bisa tarik saldo juga lumayan jutaan hilang,-2,negatif,12
Yoppie,2024-10-08 02:01:53,1,Min terlalu merepotkan hanya mau ganti nmr hp aja yg lainnya tdk ada masalah sy kecewa itu aja terlalu menyulitkan,-23,negatif,20
Xdeww Putra,2024-10-07 04:49:07,2,mau narik daro saldo usd kok lama bgt udah hari ga masuk masuk,-9,negatif,13
Nasihun Ahmad,2024-10-06 18:35:55,5,pendaftaran mudah jos pkoknya,8,positif,4
Remaung Borneo 24,2024-10-06 14:43:36,2,Udah th pake Pluang ada sedikit kendala di aplikasi kadang buat scroll informasi ke bawah atau ke atas sedikit sulit enth kenapa apakah itu bagian dari bug atau apa Karna saya bukan org IT Selanjutnya terlalu Bayak istilah di aplikasi y bahasa yg dipake didunia investasi yg buat pemula tentu saja sulit dipahami ada baiknya dilengkapi soal istilah istilah tersebut seperti Aplikasi Ajaib misalnya setiap kosa kata atau singkatan selalu ada penjelasan y atau keterangan y,-64,negatif,76
Harun Firdaus,2024-10-06 06:41:52,4,Mohon tambahin bank aladin syariah min ke daftat penarikan via banknya dong soalnya pakai bank itu sekarang,-3,negatif,17
p project,2024-10-05 15:54:02,1,Bagaimana cara menghapus data nama nomer telp dan alamat di aplikasi peluang Gagal verifikasi karena KTP Buram KTP lecet lecet lama di simpan di dompet Mau saya batalkan saja mendaftar aplikasi peluang,-39,negatif,32
JANU ALASKAR 01,2024-10-05 11:51:53,1,Yg benar aja harga beli sama harga pasar digeser hampir diambil apk keliatan jelas sekali harga beli digeser dari harga pasar,-2,negatif,21
Itel Itel123,2024-10-05 09:09:08,4,Sayang sekali ternyata bonus reward nya cuman menjadi aset beku tidak bisa di WD mau pun di trade,-13,negatif,18
Yon saja,2024-10-05 06:04:44,5,proses pendaftaran dan verifikasi mudah cepat buat saya pengguna baru semoga Pluang bisa diandalkan untuk transaksi exchange mata uang crypto ke idr,10,positif,22
Aslan Alabrar,2024-10-05 05:40:21,1,knp ngga bisa narik pake dana njir,-1,negatif,7
Wayan Jerink,2024-10-05 01:14:01,1,Tidak bisa top up bank tidak lengkap mohon untuk perbanyak bank susah untuk top up,-7,negatif,15
Christian Ray,2024-10-04 19:00:44,5,Mau coba Semoga berkah,3,positif,4
ban dito,2024-10-04 17:29:23,3,gilaaa potongan transaksinya gede juga yah adeuuuh indonesia ga akan maju kalau kebanyakan perampok,-3,negatif,14
Player NoLep,2024-10-04 14:52:52,5,Mau nanya apakah kalau nama kita masuk di slik OJK atau BI CHECKING bisa buka akun pluang dan kalau sudah punya akun pluang apakah akan di blokir gara gara nama masuk di slik OJK atau BI CHECKING,-22,negatif,37
Menteng jr,2024-10-04 09:22:38,5,Applikasi yg sangat bagus cepat dan terpercaya,9,positif,7
Bima Pujangga,2024-10-03 06:23:26,4,Saran aja sih tambahin fitur earn atau staling aset kripto kaya sebelah biar makin lengkap,-9,negatif,15
The Dragon,2024-10-03 03:01:29,1,Login susah Udah masuk otomatis log out sendiri,-6,negatif,8
Nee Bee,2024-10-03 01:24:52,1,Bikin koin crypto bisa di kirim donk Jdi bebas kita mau taro di mana aja Aplikasi udah bagus Koin ga bisa di kirim kan aneh,-1,negatif,25
XecionFire,2024-10-02 22:45:17,5,best lah nih app,3,positif,4
crypto padang,2024-10-02 06:58:53,5,lumayan mudah di mengerti,2,positif,4
Ahmad Zimamul Wafa,2024-10-02 06:19:13,5,untuk saat ini lumayan oke mantap,7,positif,6
Petani Rempah,2024-10-02 03:58:48,4,bintang dulu tapi proses daftar akunya mudah,-1,negatif,7
Handri Putrawan,2024-09-30 23:12:48,5,Apk yang bagus,-2,negatif,3
Fazrin Nc,2024-09-30 19:03:36,1,Ada fitur pro malah banyak cripto lain yang ga bisa di gunain,-12,negatif,12
ZeroViet VETERAN,2024-09-30 13:43:56,3,Buka aplikasi lama,-8,negatif,3
Mochamad Sultan Azis,2024-09-30 05:46:52,5,Sejauh ini aplikasi ini ok sih,-2,negatif,6
zul ferdi,2024-09-30 01:58:39,5,coba dulu bos,2,positif,3
Farhan Ilham Saputra,2024-09-29 22:08:35,5,oke sekali cepet verifikasinya,3,positif,4
Sahal Mohamad,2024-09-29 12:32:00,5,sangat bagus dan transaksi nya sangat cepat semua bukti transaksi dikirim ke email kita masing masing,10,positif,16
Moonxl,2024-09-29 12:06:16,3,Kak tolong tambahin fitur pindahin wallet untuk semua token tiba tiba delesting cam mana token aku,-6,negatif,16
Jhoni Hidayah,2024-09-29 07:17:47,5,Peluang ok lah,2,positif,3
Jerry Maroe,2024-09-29 05:35:38,5,Terus kembangkan aplikasinya karena sangat bermanfaat dan bagus bagi pemula seperti saya,-3,negatif,12
Ance Daindo Leba,2024-09-29 04:25:52,5,baru mau coba semoga bermanfaat,3,positif,5
Akmal Alimuddin,2024-09-29 03:19:43,5,sangat bagus untuk investasi,3,positif,4
24_Ayu Kania _25,2024-09-28 23:23:37,5,mantap aplikasinya mudah digunakan,5,positif,4
Kaspul Anwar,2024-09-28 16:44:38,5,Aplikasi mudah digunakan dan fortofolio nya bagus,5,positif,7
Azizul Hakim,2024-09-28 15:03:41,4,untuk awalan bagus gak ribet kalo nanti bagus saya tambahin lagi,-6,negatif,11
Kurniawan Restu Angga,2024-09-28 07:40:16,4,Kenapa Belum bisa kirim moonbeam ke dompet kripto lain kira kapan bisanya yaa,-4,negatif,13
Victoria Manafe,2024-09-28 05:38:02,5,Aplikasi trading saham dan kripto yang paling mudah digunakan,-3,negatif,9
Candra Eka Permana,2024-09-28 01:31:29,2,spread nya terlalu tinggi berakibat sangat minimnya keuntungan selisih jual dan beli apalagi jika pasar agar swing bisa dikatakan sangat sulit mendapatkan keuntungan yg cukup bagan chartnya terlalu lama proses loading nya mohon dipertimbangkan untuk spread terimakasih,-8,negatif,37
Antony H,2024-09-27 23:28:14,5,lumayan bagus dan mudah di mengerti,5,positif,6
Wahyu Romadhon,2024-09-27 12:59:39,1,top up ribet dana udah di transfer malah gagal top up dah gitu minta pengembalian dana CS nya slow respon parah aplikasi gak bisa di percaya hati buat yg mau ngirim uang ke sini,-6,negatif,34
Irvan irvan,2024-09-27 12:20:02,1,Perasaan saya klw kita untung sekitar pas kita mau jual kok keuntungan nya sisa lebih kok potongan nya bear kali blm pas kita mau tarik ke rekening potongan juga lumayan gede sekitar ribuan padahal semua aset saya dari ajaib saya pindahkan ke pulang ternyata di pulang lebih besar potongan nya di ajaib cmn RB aja klw kita mau tarik dana klw ada keuntungan sekitar masuk semua keuntungan nya ngk ada yg dipotong klw di ajaib makanya saya agak kecewa,-19,negatif,79
Ali Gators,2024-09-27 04:38:28,5,Minn tambahin lah coin coin meme yg baru dan selalu update coin coin yg lain minn jangan mau kalah sama ajaib,-9,negatif,21
Samsul Samsul,2024-09-27 03:36:40,5,keren dan mudah di pahami,5,positif,5
Anto Revized,2024-09-26 22:30:48,5,mudah cara registrasi dan cepat waktu verifikasi KTP,5,positif,8
Jones Man,2024-09-26 17:37:45,5,bagus semoga kemana selalu terjaga dan tdk sampe di hack seperti aplikasi sebelah,-8,negatif,13
Dymm ranger,2024-09-26 07:12:55,1,maaf saya kasih bintang satu saat mengalami kendala saya rasa CS Online email developer kalian semua LELET hanya untuk ganti nomer saja harus take video ulang x setelah itu harus menunggu lagi hari kerja waktu itu berharga pelayanan online yg shrsnya mempercepat tapi malah kaya pelayanan p m rintah,-41,negatif,49
Zerebro Pp,2024-09-26 05:19:34,5,Semoga bitcoin naik amin,-2,negatif,4
Dennis Virgiawan,2024-09-26 01:26:43,1,Bagus cuma kebanyakan koin ga bisa di tarik bikin kaya indodax dong biar bisa di simpan ke wallet external,-7,negatif,19
Bedjo Djowo,2024-09-25 12:50:51,4,Cukup bagus depo dan WD cepat saran tolong diperbanyak lagi sahamnya khususnya saham Taiwan Tiongkok tambah lagi jenis komoditas thanks min,1,positif,21
ilyas bike51,2024-09-25 10:54:05,5,user experientnya bagus mudah di gunakan,5,positif,6
Seahp,2024-09-25 07:32:45,1,lucu nya tidak bisa narik pakai ewalet,-7,negatif,7
Ray Raya,2024-09-25 03:46:51,1,App Error tidak bisa di gunakan,-5,negatif,6
AIMARAMBOI ISHAK NENEPAT,2024-09-24 20:13:50,5,mantap yah tipis,3,positif,3
Yudii Ardian,2024-09-24 20:11:28,5,Kapan ada futures nya min gass terus pluang,-3,negatif,8
Haikal Affandi,2024-09-24 11:39:24,3,Knp saya selalu gagal dalam penarikan,-4,negatif,6
Siti Ratnasari,2024-09-24 09:34:04,5,Untuk investasi bagus nya pake pulang,3,positif,6
Radius Prawiro,2024-09-24 05:57:46,1,Aplikasi lelet sekali,-1,negatif,3
Ontorejo Ontoseno,2024-09-24 04:15:57,5,Pokoke sllu didepan terpercaya,3,positif,4
Iwan Hardiyanto,2024-09-23 14:44:06,5,sangat mudah di gunakan dan top up lebih cepat prosesnya,9,positif,10
Fitri Priyatini,2024-09-23 11:20:15,2,Ga salah min buka features di momen ssaat ini,-7,negatif,9
Adika Putra,2024-09-23 09:59:05,5,pengalaman yang mengesankan,1,positif,3
Dewiayu Trisna,2024-09-23 09:46:38,5,Pluang itu Ok banget dan semoga kedepannya terus berkembang Terima kasih,-2,negatif,11
Made Sindra,2024-09-23 09:17:39,5,sangat menarik dan sederhana fiturnya,-9,negatif,5
Agus Rahmat,2024-09-23 01:31:51,5,baru download aplikasinya mdhan berkah,4,positif,5
May,2024-09-22 13:51:02,5,Apk Pluang sudah bagus Tapi Saya ada saran gimana untuk investasi rutin cryptonya di kurangi jumlah minimalnya misalnya Bitcoin Rp Perhari Terima kasih,-6,negatif,23
Pikri Sisil,2024-09-22 10:37:04,3,Untung gua ga top up banyak kekurangannya hanya satu Ga bisa wd ke ewalet atau pirtual akun Kan ga semua pemula punya rekeneng bank kali boss,-7,negatif,26
Yusyu Roli Limarno SE,2024-09-22 08:25:08,5,Aplikasi super investasi yg lengkap dan super full,-7,negatif,8
johnie coco,2024-09-21 09:21:20,3,Wow semakin lama semakin aneh transaksi disini harga jualnya terlalu rendah dari harga bid nya kalau ada waktu saya akan pelan pelan migrasi ke apk lain,-16,negatif,26
Bayu May Langga,2024-09-21 08:35:37,5,Saya pengguna baru saya harap sesuai dengan namanya PLUANG saya akan memperoleh banyak peluang finansial di aplikasi ini,-12,negatif,18
Yogawan Aditya Pratama,2024-09-21 04:48:39,5,Aplikasi bagus developer nya keren kasih gaji bonus dong jangan di pecat,-6,negatif,12
Muhammad Rizkie,2024-09-20 15:25:47,5,Aplikasi ny sangat bagus tapi kurang suka di chart pro features bukan candlestick,-3,negatif,13
May,2024-09-20 06:21:44,4,Lebih suka tanpa fitur pro lite Terus total modal masuk ga langsung bisa di lihat realtime,-1,negatif,16
Gaby Gomes,2024-09-20 02:16:30,5,Aplikasi investasi terbaik,5,positif,3
Bbu Bae,2024-09-19 14:29:15,4,baru download klo bagus jadi bintang,1,positif,6
Adriana Lombo,2024-09-19 13:40:42,5,Sangat bagus app inves yg sangat di rekomendasikan bagi yang mau mulai investasi,-6,negatif,13
Alfansyah Irawan,2024-09-19 11:49:07,5,aplikasi nya udh bagus tapi plis lah bisa narik dana pakai ewallet agar memudahkan menarik dana,-1,negatif,16
Khouf Feed,2024-09-19 11:39:22,5,min saya dah baca banyak ulasan dan menurut saya poin penting yang harus di kembangkan saat ini adalah tentang transfer koin banyak orang pengen melakukan trasfer koin tapi terkendala banyak koin yang belum siap untuk transaksi terima maupun mengirim jika ini bisa secepatnya di selesaikan maka ini bisa menambah jalur keluar masuk dana aset itu aja si min menurut saya berjuang buat para tim pluang,-27,negatif,65
Daukas Nuarian,2024-09-19 09:05:36,4,Tolong untuk Proses TopUp dipermudah yaa kak jujur ini terlalu ribet harus ada angka unik di belakang masa mau investasi kya mau Depo Judol apakah tidak bisa dibuat layaknya TopUp eWallet seperti D NA G Pay OV Overall Aplikasi nya cukup mudah dimengerti untuk orang awam,-20,negatif,46
Heru Tjahjono,2024-09-19 05:43:33,3,Withdraw terlalu lama hari belum masuk Call center juga lama tidak merespon Masih kurang ok lah,-16,negatif,16
Aditya Noviyanto,2024-09-19 05:19:59,5,baik sekali aplikasi ini,-3,negatif,4
cahndesso tidur,2024-09-19 04:40:35,5,cukup tertarik karena di dalamnya banyak memberikan harapan,-2,negatif,8
Sahel Purnomo,2024-09-19 03:42:03,5,msh dalam percobaan klo bagus ya di terusin,10,positif,8
bocah ngamuk,2024-09-19 02:47:49,4,Aplikasi sangat bagus kalau bisa tambahkan metode penarikan via e wallet,-3,negatif,11
Riski Dwi kurniawan,2024-09-19 00:54:18,3,Dolong dong di layarnya full in pas lihat chartnya pas ana lisanya kan kasian kek qw ni bisa analisa TPI enak an di apk sebelah soalnya pas nampilin chatnya full gitu gk yang baru di update ini adasnya ada nama crypto nya yang di tradingkan agak ke cewa si padahal pulang apk paling mudah dn Yaman yang aku pakek kok gini update nya pakek hp lagi yang gua punya malah kek gini tolong lah yak di permudah,-30,negatif,77
Imam Ma'ruf,2024-09-18 17:48:53,3,Semoga akan ada upgrade treding arah,-7,negatif,6
Kang Note5,2024-09-18 17:19:30,1,order jual saham us update sekarang malah mempersulit tidak praktis lagi harus hitung manual bikin kepala pusing enak yg kemarin tinggal pencet persentase saja praktis tanpa mikir,-22,negatif,27
Fransen Siahaan,2024-09-18 16:45:17,5,Tolong dibantu saya tidak bisa instal aplikasi PLUANG di ho,-10,negatif,10
Tukang 41,2024-09-18 13:05:22,1,Abis apdet malah makin susah di scrol kebawah,-1,negatif,8
Andri yansa,2024-09-18 09:43:35,4,bagus masih baru,3,positif,3
yogi saputra,2024-09-17 10:57:09,5,Tolong dong min segera aset ton fitur kirim sama terima segera di resmikan udh lama nunggu gerek cepat dong di tanggapin balasan cek sekala berkala udh hampir setengah tahun saya cek belum juga aset ton rilis sangat mengecewakan padahal saya udh hampir tahun menggunakan apliaksih Peluan,-13,negatif,46
Alii,2024-09-17 06:47:50,5,bisa narik ke dana GK si min Mabar ff yo minta id tfnya,1,positif,13
Arifin Nudin,2024-09-17 06:21:38,4,Pluang udah ada fitur forex blum Kalo belum Adain dong trading forex biar lebih mantap lagi kita cari cuan dan profit nya,-9,negatif,22
BeePro,2024-09-17 05:59:42,4,akun saya di nonaktifkan bagaimana cara mengaktifkan nya kembali,-3,negatif,9
Anggoro,2024-09-17 03:00:27,5,Pilihan lengkap imbal hasil cukup baik biaya administrasi cukup murah,5,positif,10
Agung Septiadi,2024-09-16 18:54:43,5,oke si gua pemula jadi mudah paham,1,positif,7
GᴀᴢᴇRᴏᴄᴋ,2024-09-16 18:25:58,1,aplikasi makin ribet lebih bagus dan simple versi dulu,1,positif,9
Tri Pras,2024-09-16 16:55:08,1,Kenapa top up lewat BNI sekarang jadi nggk ada,-7,negatif,9
Dedik,2024-09-16 14:32:44,1,Stop mengirim dality transaction di email Sangat menganggu sekali,-1,negatif,9
